Layer,From,N,Params,Module,Arguments
175,174,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
176,174,1,0,BatchNorm2d,[]
177,174,1,0,SiLU,[]
178,173,1,0,Conv,[]
179,178,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
180,178,1,0,BatchNorm2d,[]
181,178,1,0,SiLU,[]
182,0,1,0,Conv,[]
183,182,1,0,Conv2d,"kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), dilation=(1, 1)"
184,182,1,0,BatchNorm2d,[]
185,182,1,0,SiLU,[]
186,0,1,0,C2f,[]
187,186,1,0,Conv,[]
188,187,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
189,187,1,0,BatchNorm2d,[]
190,187,1,0,SiLU,[]
191,186,1,0,Conv,[]
192,191,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
193,191,1,0,BatchNorm2d,[]
194,191,1,0,SiLU,[]
195,186,1,0,ModuleList,[]
196,195,1,0,Bottleneck,[]
197,196,1,0,Conv,[]
198,197,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
199,197,1,0,BatchNorm2d,[]
200,197,1,0,SiLU,[]
201,196,1,0,Conv,[]
202,201,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
203,201,1,0,BatchNorm2d,[]
204,201,1,0,SiLU,[]
205,195,1,0,Bottleneck,[]
206,205,1,0,Conv,[]
207,206,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
208,206,1,0,BatchNorm2d,[]
209,206,1,0,SiLU,[]
210,205,1,0,Conv,[]
211,210,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
212,210,1,0,BatchNorm2d,[]
213,210,1,0,SiLU,[]
214,195,1,0,Bottleneck,[]
215,214,1,0,Conv,[]
216,215,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
217,215,1,0,BatchNorm2d,[]
